[0. 0. 0.]
[ 120.12012571 8603.49114876 1821.56247032]
[ 119.51287443 8712.07073674 1824.37985115]
[ 119.57171236 8722.59125554 1824.10686883]
[ 119.51376744 8732.95209932 1824.37570797]
[ 115.98095515 9204.30243774 1836.35785686]
[ 117.76631575 9442.50652337 1830.30249509]
[ 116.82095154 9568.63768994 1833.50886261]
[ 115.6562543  9788.27348384 1838.97045788]
[ 115.28432841 9856.53114953 1840.58270797]
[  113.94396343 10027.27062921  1844.28948774]
[  115.37142391 10209.10457988  1840.34184534]
[  116.35368412 10334.57924077  1837.68612534]
[  115.50961248 10442.40158962  1839.96822729]
[  117.26996444 10667.27027874  1835.20879403]
[  117.31956915 10675.04466962  1835.04478065]
[  117.47011026 10698.16915595  1834.60520706]
[  117.48931135 10701.4994703   1834.54150449]
[  117.87457739 10784.92811553  1832.99406989]
[  118.42328969 10909.50129824  1830.73278848]
[  117.83952571 11042.03220226  1833.1385203 ]
[  117.96662798 11070.88800494  1832.61472305]
[  117.64669434 11143.52197201  1833.93319173]
[  119.22386905 11501.58515641  1827.43354547]
[  119.90782622 11635.53614783  1825.05773217]
[  120.54923538 11791.50262009  1822.32251955]
[  120.55863979 11793.93973572  1822.28046865]
[  120.73741144 11835.29874827  1821.57947167]
[  122.09018423 12199.79327031  1815.51539533]
[  122.15799577 12218.94313411  1815.19875848]
[  122.23044915 12246.39003194  1814.76912226]
[  122.19759185 12258.83708424  1814.96396047]
[  122.04969582 12314.66426944  1815.71489592]
[  121.9767442  12411.11090869  1817.02636704]
[  121.93586505 12439.85098787  1817.40549259]
[  121.67737828 12545.61707238  1818.68241822]
[  122.19986111 12759.40349745  1816.10135107]
[  122.57689688 12861.09758888  1814.9077652 ]
[  122.6525102  12882.88094733  1814.6530636 ]
[  122.95731374 12957.87105971  1813.81442819]
[  122.98391588 12964.37588248  1813.74428093]
[  123.18062889 13015.34657387  1813.20223505]
[  122.92758386 13080.91356328  1813.89950471]
[  122.76507973 13132.57736396  1814.44053338]
[  122.92503652 13183.4313065   1813.90798563]
[  122.43379355 13339.60874697  1815.54349194]
[  121.92358864 13491.38027794  1817.08935427]
[  122.01082924 13517.33188798  1816.82502527]
[  122.0473059  13542.06605921  1816.62862642]
[  122.10293632 13599.01118284  1816.19561329]
[  121.95248315 13753.01997511  1817.36670267]
[  121.49081216 14091.43308488  1819.88998882]
[  121.43561438 14127.63819816  1820.15074273]
[  121.43249711 14129.50067838  1820.16398242]
[  121.41088596 14146.09318284  1820.27717271]
[  121.22482958 14319.62040916  1821.36072578]
[  121.46791531 14546.33659402  1819.94504581]
